City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
58,bani walid,31.7566,13.9942,13.99,65,29,3.54,LY,1710534851
59,midvagur,62.0511,-7.1939,1.46,60,75,3.09,FO,1710534851
60,albany,42.6001,-73.9662,8.94,77,100,1.89,US,1710534557
61,longyearbyen,78.2186,15.6401,-23.09,59,75,2.57,SJ,1710534575
62,ancud,-41.8697,-73.8203,13.76,84,83,5.86,CL,1710534652
63,bonthe,7.5264,-12.505,26.78,86,33,1.94,SL,1710534853
64,pyapon,16.2833,95.6833,23.9,73,2,3.02,MM,1710534854
65,mirny,62.5353,113.9611,-20.43,83,98,1.79,RU,1710534854
66,trairi,-3.2778,-39.2689,23.82,97,100,3.8,BR,1710534854
67,carnarvon,-24.8667,113.6333,29.79,60,99,4.27,AU,1710534652
68,talnakh,69.4865,88.3972,-19.89,94,99,5.75,RU,1710534800
69,sur,22.5667,59.5289,23.65,51,72,1.17,OM,1710534726
70,hawaiian paradise park,19.5933,-154.9731,22.16,98,100,3.6,US,1710534568
71,fairfield,41.2668,-73.3162,17.47,54,40,5.14,US,1710534831
72,wailua homesteads,22.0669,-159.378,23.24,63,0,6.69,US,1710534857
73,georgetown,5.4112,100.3354,27.96,83,20,2.24,MY,1710534780
74,luanda,-8.8368,13.2343,28.0,83,40,1.54,AO,1710534764
75,palangkaraya,-2.2,113.8333,23.64,93,78,0.49,ID,1710534858
76,blackmans bay,-43.0167,147.3167,7.51,93,61,0.45,AU,1710534858
77,lihue,21.9789,-159.3672,23.58,63,0,6.69,US,1710534700
78,blackwater,-23.5833,148.8833,22.21,76,35,3.4,AU,1710534859
79,stanley,54.868,-1.6985,5.71,89,75,3.6,GB,1710534582
80,bel ombre,-4.6167,55.4167,27.91,83,40,2.57,SC,1710534860
81,tolanaro,-25.0319,46.9987,26.04,89,20,3.09,MG,1710534861
82,gadzhiyevo,69.2551,33.3362,-5.5,92,100,2.32,RU,1710534862
83,iskateley,67.6803,53.1512,-2.77,91,100,10.28,RU,1710534597
84,san patricio,28.017,-97.5169,28.98,66,63,5.95,US,1710534707
85,udachny,66.4167,112.4,-27.61,100,100,1.69,RU,1710534578
86,kailua-kona,19.6406,-155.9956,26.82,77,75,3.09,US,1710534863
87,ribeira grande,38.5167,-28.7,17.22,72,40,9.77,PT,1710534864
88,punta arenas,-53.15,-70.9167,9.01,46,40,12.86,CL,1710534859
89,port mathurin,-19.6833,63.4167,26.24,69,73,8.63,MU,1710534865
90,holualoa,19.6228,-155.9522,24.75,77,75,3.09,US,1710534865
91,port augusta,-32.5,137.7667,23.49,59,61,3.35,AU,1710534866
92,robertson,36.5167,-86.8667,20.99,96,100,5.66,US,1710534659
93,tura,25.5198,90.2201,20.3,33,0,1.26,IN,1710534867
94,olonkinbyen,70.9221,-8.7187,-12.85,75,100,8.91,SJ,1710534867
95,palmer,42.1584,-72.3287,11.07,72,100,6.69,US,1710534641
96,saudarkrokur,65.7461,-19.6394,-0.42,90,100,1.78,IS,1710534868
97,filadelfia,39.9523,-75.1638,21.3,60,100,7.2,US,1710534792
98,klyuchi,52.2667,79.1667,-10.87,94,22,3.89,RU,1710534624
99,iqaluit,63.7506,-68.5145,-11.15,72,75,2.57,CA,1710534613
100,bredasdorp,-34.5322,20.0403,18.9,70,13,5.79,ZA,1710534870
101,woolgoolga,-30.1106,153.2007,19.47,65,98,5.77,AU,1710534870
102,vorgashor,67.5833,63.95,-3.58,95,100,6.76,RU,1710534366
103,huayin,34.5675,110.0921,13.57,72,73,2.46,CN,1710534871
104,el cuervo,36.853,-6.0379,17.13,88,0,0.0,ES,1710534871
105,cidreira,-30.1811,-50.2056,24.7,83,100,2.6,BR,1710534872
106,hermanus,-34.4187,19.2345,19.89,76,69,6.46,ZA,1710534872
107,gobabis,-22.45,18.9667,27.38,27,75,3.7,NA,1710534873
